model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
tests/layered/connected_components/compound06.elkt	drift	2	structure	children[0]/edges[4]/sections[0]: missing keys on right: bendPoints	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/tests/layered/connected_components/compound06.elkt.json	perf/model_parity_step48_section_semantics/rust/tests/layered/connected_components/compound06.elkt.json
tickets/layered/476_multiLabelInHorizontalLayout.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/tickets/layered/476_multiLabelInHorizontalLayout.elkt.json	perf/model_parity_step48_section_semantics/rust/tickets/layered/476_multiLabelInHorizontalLayout.elkt.json
tickets/layered/476_multiLabelInVerticalLayout.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/tickets/layered/476_multiLabelInVerticalLayout.elkt.json	perf/model_parity_step48_section_semantics/rust/tickets/layered/476_multiLabelInVerticalLayout.elkt.json
tickets/layered/724_includeChildrenModelOrder.elkt	drift	3	section	edges[0]/sections[0]/endPoint/y: number mismatch (27.5 != 27.0)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/tickets/layered/724_includeChildrenModelOrder.elkt.json	perf/model_parity_step48_section_semantics/rust/tickets/layered/724_includeChildrenModelOrder.elkt.json
