event	index	total	model_rel_path	status	elapsed_ms	note
start	1	16	tickets/core/299_surroundingPortSpace.elkt	-	0	-
end	1	16	tickets/core/299_surroundingPortSpace.elkt	ok	7	-
start	2	16	tickets/core/491_portSpacing.elkt	-	0	-
end	2	16	tickets/core/491_portSpacing.elkt	ok	5	-
start	3	16	tickets/core/562_insideSelfLoopAlgorithmResolving.elkt	-	0	-
end	3	16	tickets/core/562_insideSelfLoopAlgorithmResolving.elkt	ok	2	-
start	4	16	tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt	-	0	-
end	4	16	tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt	ok	4	-
start	5	16	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	-	0	-
end	5	16	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	ok	2	-
start	6	16	tickets/layered/213_componentsCompaction.elkt	-	0	-
end	6	16	tickets/layered/213_componentsCompaction.elkt	ok	15	-
start	7	16	tickets/layered/288_selfLoopsCauseNPE_b.elkt	-	0	-
end	7	16	tickets/layered/288_selfLoopsCauseNPE_b.elkt	ok	5	-
start	8	16	tickets/layered/302_brokenSplineSelfLoops.elkt	-	0	-
end	8	16	tickets/layered/302_brokenSplineSelfLoops.elkt	ok	1	-
start	9	16	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	-	0	-
end	9	16	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	ok	7	-
start	10	16	tickets/layered/368_selfLoopLabelsIOOBE.elkt	-	0	-
end	10	16	tickets/layered/368_selfLoopLabelsIOOBE.elkt	ok	1	-
start	11	16	tickets/layered/371_strangeSplineSpacing.elkt	-	0	-
end	11	16	tickets/layered/371_strangeSplineSpacing.elkt	ok	3	-
start	12	16	tickets/layered/425_selfLoopInCompoundNode.elkt	-	0	-
end	12	16	tickets/layered/425_selfLoopInCompoundNode.elkt	ok	2	-
start	13	16	tickets/layered/453_interactiveProblems.elkt	-	0	-
end	13	16	tickets/layered/453_interactiveProblems.elkt	ok	2	-
start	14	16	tickets/layered/502_collapsingCompoundNode.elkt	-	0	-
end	14	16	tickets/layered/502_collapsingCompoundNode.elkt	ok	4	-
start	15	16	tickets/layered/665_includeChildrenDoesntStop.elkt	-	0	-
end	15	16	tickets/layered/665_includeChildrenDoesntStop.elkt	ok	3	-
start	16	16	tickets/layered/701_portLabels.elkt	-	0	-
end	16	16	tickets/layered/701_portLabels.elkt	ok	26	-
