event	index	total	model_rel_path	status	elapsed_ms	note
start	1	2	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	-	0	-
end	1	2	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	ok	4	-
start	2	2	tickets/layered/502_collapsingCompoundNode.elkt	-	0	-
end	2	2	tickets/layered/502_collapsingCompoundNode.elkt	ok	7	-
