event	index	total	model_rel_path	status	elapsed_ms	note
start	36	110	tickets/layered/316_wrongGraphSizeWithIncludeChildren2.elkt	-	0	-
end	36	110	tickets/layered/316_wrongGraphSizeWithIncludeChildren2.elkt	ok	0	-
start	37	110	tickets/layered/318_overlappingHorizontalEdgeSegments.elkt	-	0	-
end	37	110	tickets/layered/318_overlappingHorizontalEdgeSegments.elkt	ok	0	-
start	38	110	tickets/layered/340_classCastExceptionGreedySwitch.elkt	-	0	-
end	38	110	tickets/layered/340_classCastExceptionGreedySwitch.elkt	ok	0	-
start	39	110	tickets/layered/341_polylineUnnecessaryBendpoints.elkt	-	0	-
end	39	110	tickets/layered/341_polylineUnnecessaryBendpoints.elkt	ok	1	-
start	40	110	tickets/layered/347_polylineOnEdgeLabels.elkt	-	0	-
end	40	110	tickets/layered/347_polylineOnEdgeLabels.elkt	ok	1	-
start	41	110	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	-	0	-
end	41	110	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	ok	1	-
start	42	110	tickets/layered/360_badSelfLoopLabelPlacement.elkt	-	0	-
end	42	110	tickets/layered/360_badSelfLoopLabelPlacement.elkt	ok	0	-
start	43	110	tickets/layered/368_selfLoopLabelsIOOBE.elkt	-	0	-
end	43	110	tickets/layered/368_selfLoopLabelsIOOBE.elkt	ok	0	-
start	44	110	tickets/layered/369_hierachicalEdgeOffsets.elkt	-	0	-
end	44	110	tickets/layered/369_hierachicalEdgeOffsets.elkt	ok	1	-
start	45	110	tickets/layered/371_strangeSplineSpacing.elkt	-	0	-
end	45	110	tickets/layered/371_strangeSplineSpacing.elkt	ok	0	-
start	46	110	tickets/layered/377_layerConstraints.elkt	-	0	-
end	46	110	tickets/layered/377_layerConstraints.elkt	ok	0	-
start	47	110	tickets/layered/401_portConstraintsOfCompoundNodes.elkt	-	0	-
end	47	110	tickets/layered/401_portConstraintsOfCompoundNodes.elkt	ok	0	-
start	48	110	tickets/layered/403_stackedSelfLoopLabels.elkt	-	0	-
end	48	110	tickets/layered/403_stackedSelfLoopLabels.elkt	ok	0	-
start	49	110	tickets/layered/404_stackedCenterEdgeLabels.elkt	-	0	-
end	49	110	tickets/layered/404_stackedCenterEdgeLabels.elkt	ok	1	-
start	50	110	tickets/layered/405_differentPortLabelPositionsNSWEInside.elkt	-	0	-
end	50	110	tickets/layered/405_differentPortLabelPositionsNSWEInside.elkt	ok	1	-
start	51	110	tickets/layered/405_differentPortLabelPositionsNSWEOutside.elkt	-	0	-
end	51	110	tickets/layered/405_differentPortLabelPositionsNSWEOutside.elkt	ok	1	-
start	52	110	tickets/layered/405_differentPortLabelPositionsNSWEOutsideNextToPort.elkt	-	0	-
end	52	110	tickets/layered/405_differentPortLabelPositionsNSWEOutsideNextToPort.elkt	ok	1	-
start	53	110	tickets/layered/405_differentPortLabelPositionsTwoWestOutside.elkt	-	0	-
end	53	110	tickets/layered/405_differentPortLabelPositionsTwoWestOutside.elkt	ok	1	-
start	54	110	tickets/layered/405_differentPortLabelPositionsTwoWestOutsideNextToPort.elkt	-	0	-
end	54	110	tickets/layered/405_differentPortLabelPositionsTwoWestOutsideNextToPort.elkt	ok	1	-
start	55	110	tickets/layered/405_differentPortPositionsUpDown.elkt	-	0	-
end	55	110	tickets/layered/405_differentPortPositionsUpDown.elkt	ok	0	-
start	56	110	tickets/layered/411_north_south_port_anchor_a.elkt	-	0	-
end	56	110	tickets/layered/411_north_south_port_anchor_a.elkt	ok	0	-
start	57	110	tickets/layered/411_north_south_port_anchor_b.elkt	-	0	-
end	57	110	tickets/layered/411_north_south_port_anchor_b.elkt	ok	0	-
start	58	110	tickets/layered/416_longSelfLoops.elkt	-	0	-
end	58	110	tickets/layered/416_longSelfLoops.elkt	ok	1	-
start	59	110	tickets/layered/418_northPortsWithSelfLoops.elkt	-	0	-
end	59	110	tickets/layered/418_northPortsWithSelfLoops.elkt	ok	0	-
start	60	110	tickets/layered/419_northSelfLoopsAndRegularEdges.elkt	-	0	-
end	60	110	tickets/layered/419_northSelfLoopsAndRegularEdges.elkt	ok	0	-
start	61	110	tickets/layered/425_selfLoopInCompoundNode.elkt	-	0	-
end	61	110	tickets/layered/425_selfLoopInCompoundNode.elkt	ok	0	-
start	62	110	tickets/layered/433_graphSizeWithSelfLoopLabel.elkt	-	0	-
end	62	110	tickets/layered/433_graphSizeWithSelfLoopLabel.elkt	ok	0	-
start	63	110	tickets/layered/439_bigNodeErrors.elkt	-	0	-
end	63	110	tickets/layered/439_bigNodeErrors.elkt	ok	0	-
start	64	110	tickets/layered/444_selfLoopsNPE.elkt	-	0	-
end	64	110	tickets/layered/444_selfLoopsNPE.elkt	ok	0	-
start	65	110	tickets/layered/445_feedbackEdgeTailLabel.elkt	-	0	-
end	65	110	tickets/layered/445_feedbackEdgeTailLabel.elkt	ok	0	-
start	66	110	tickets/layered/447_hierarchicalPortAnchors.elkt	-	0	-
end	66	110	tickets/layered/447_hierarchicalPortAnchors.elkt	ok	0	-
start	67	110	tickets/layered/453_interactiveProblems.elkt	-	0	-
end	67	110	tickets/layered/453_interactiveProblems.elkt	ok	0	-
start	68	110	tickets/layered/454_unnecessarilyLongEdge.elkt	-	0	-
end	68	110	tickets/layered/454_unnecessarilyLongEdge.elkt	ok	1	-
start	69	110	tickets/layered/455_longHierarchicalEdges.elkt	-	0	-
end	69	110	tickets/layered/455_longHierarchicalEdges.elkt	ok	0	-
start	70	110	tickets/layered/455_shortHierarchicalEdges.elkt	-	0	-
end	70	110	tickets/layered/455_shortHierarchicalEdges.elkt	ok	0	-
start	71	110	tickets/layered/463_aioobe_with_self_loops.elkt	-	0	-
end	71	110	tickets/layered/463_aioobe_with_self_loops.elkt	ok	1	-
start	72	110	tickets/layered/471_verticalInlineLabelAlignment.elkt	-	0	-
end	72	110	tickets/layered/471_verticalInlineLabelAlignment.elkt	ok	0	-
start	73	110	tickets/layered/476_multiLabelInHorizontalLayout.elkt	-	0	-
end	73	110	tickets/layered/476_multiLabelInHorizontalLayout.elkt	ok	0	-
start	74	110	tickets/layered/476_multiLabelInVerticalLayout.elkt	-	0	-
end	74	110	tickets/layered/476_multiLabelInVerticalLayout.elkt	ok	0	-
start	75	110	tickets/layered/502_collapsingCompoundNode.elkt	-	0	-
end	75	110	tickets/layered/502_collapsingCompoundNode.elkt	ok	0	-
start	76	110	tickets/layered/504_brokenHyperedges.elkt	-	0	-
end	76	110	tickets/layered/504_brokenHyperedges.elkt	ok	0	-
start	77	110	tickets/layered/515_polylineOverNodeIncOut.elkt	-	0	-
end	77	110	tickets/layered/515_polylineOverNodeIncOut.elkt	ok	0	-
start	78	110	tickets/layered/515_polylineOverNodeIncoming.elkt	-	0	-
end	78	110	tickets/layered/515_polylineOverNodeIncoming.elkt	ok	0	-
start	79	110	tickets/layered/515_polylineOverNodeOutgoing.elkt	-	0	-
end	79	110	tickets/layered/515_polylineOverNodeOutgoing.elkt	ok	0	-
start	80	110	tickets/layered/528_nodeEdgeOverlap.elkt	-	0	-
end	80	110	tickets/layered/528_nodeEdgeOverlap.elkt	ok	1	-
start	81	110	tickets/layered/528_violatedNodeOrder.elkt	-	0	-
end	81	110	tickets/layered/528_violatedNodeOrder.elkt	ok	0	-
start	82	110	tickets/layered/541_invertedComplexHeadLabels.elkt	-	0	-
end	82	110	tickets/layered/541_invertedComplexHeadLabels.elkt	ok	0	-
start	83	110	tickets/layered/541_invertedSimpleHeadLabels.elkt	-	0	-
end	83	110	tickets/layered/541_invertedSimpleHeadLabels.elkt	ok	0	-
